Number,Name,Energy_per_100g,Total_energy_on_plate,image
1,Potato crisps (natural),541,541,1.jpg
3,Cheese twist,508,381,3.jpg
4,Nuts,577,646.2,4.jpg
13,Fish sticks,239,717,13.jpg
18,Pizza slices,251,753,18.jpg
24,Nacho-cheese tortilla chips,487,487,24.jpg
30,Strawberries with whipped cream,75.6,166.4,30.jpg
32,Milk chocolate,546,1113.8,32.jpg
33,Winegums,349,1123.8,33.jpg
35,Biscuit with chocolate,469,558.1,35.jpg
37,Mars,447,1788,37.jpg
38,Chocolate Cupcake iced with nuts,548.4,1645.2,38.jpg
42,Bonbons (chocolates),519,1038,42.jpg
44,Whipped cream pie,350,758.4,44.jpg
51,"Olive, pepper and cucumber salad",57.9,212.5,51.jpg
67,Tuna salad,303,757.5,67.jpg
69,Mini pickels,11,21.5,69.jpg
89,Raisins,326,326,89.jpg
100,Mini donuts,358,300.7,100.jpg
101,Pancakes,196,392,101.jpg
104,Kinderbueno,571,920.7,104.jpg
105,Smarties,465,800.7,105.jpg
106,Chocolate bar,549.6,1242.1,106.jpg
110,Chocolate nuts,560,1152,110.jpg
111,Kitkat,520,1404,111.jpg
112,Cupcakes with chocolate,450,916.3,112.jpg
115,Brownies,401,1077.6,115.jpg
117,Strawberry pie with whipped cream,205,1156.8,117.jpg
118,Cake,424,1908,118.jpg
120,Candy,335,670,120.jpg
121,Chocolate eclairs (round),307,690.8,121.jpg
122,Pepper potato crisps,544,544,122.jpg
125,Pizza bolognaise slice,220,726,125.jpg
127,Cornetto's (icecream),297,712.8,127.jpg
128,Frankfurter sausages,202,404,128.jpg
131,Cheese plate,338,1892.8,131.jpg
132,French fries with sauce,367.7,1654.7,132.jpg
136,Donuts with icing (3 donuts),416,1248,136.jpg
140,Cream cheese on toast,370.3,814.7,140.jpg
141,Spanish sausage,358,322.2,141.jpg
142,Apple (green),60,252,142.jpg
143,"Fruitsalad, berries, banana, melon",56.4,239.5,143.jpg
144,Strawberries,29,87,144.jpg
145,"Grapes, white",78,156,145.jpg
146,Banana,95,112.1,146.jpg
148,Tangerine,45,108,148.jpg
149,"Kiwi, halves",68,258.4,149.jpg
151,"Pineapple, pieces",57,136.8,151.jpg
152,Fruit salad,45.7,130.1,152.jpg
153,Pear,55,181.5,153.jpg
157,Nectarine,33,79.2,157.jpg
158,Orange,51,25.5,158.jpg
159,Raspberries,43,53.8,159.jpg
160,Cherries,57,140.2,160.jpg
161,Watermelon,38,45.6,161.jpg
162,Red berries,48,72,162.jpg
163,Cream crackers,465,223.2,163.jpg
165,"Pepper, yellow",23,69,165.jpg
166,Radish,22,7.9,166.jpg
167,Shrimps,94,206.8,167.jpg
168,Crackers,391,265.9,168.jpg
170,"Eggs, halves",136,418.9,170.jpg
